"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2024","111.16","112.22","112.42","111.09","18.63M","-1.49%"
"01/02/2024","112.84","113.23","113.94","112.49","8.56M","-1.01%"
"12/29/2023","113.99","113.98","114.40","113.51","7.94M","-0.12%"
"12/28/2023","114.13","113.97","114.37","113.82","8.24M","0.03%"
"12/27/2023","114.10","113.91","114.37","113.71","5.89M","0.15%"
"12/26/2023","113.93","113.22","114.19","113.05","5.18M","0.71%"
"12/22/2023","113.13","112.82","113.53","112.68","5.50M","0.48%"
"12/21/2023","112.59","112.23","112.64","111.72","6.96M","1.03%"
"12/20/2023","111.44","112.46","113.39","111.37","8.33M","-1.62%"
"12/19/2023","113.27","112.72","113.39","112.65","5.25M","0.77%"
"12/18/2023","112.40","112.68","112.75","112.28","6.98M","-0.55%"
"12/15/2023","113.02","112.90","113.38","112.47","13.80M","-0.13%"
"12/14/2023","113.17","112.50","113.44","112.35","15.47M","1.29%"
"12/13/2023","111.73","110.50","111.93","109.92","12.98M","1.11%"
"12/12/2023","110.50","110.16","110.72","109.80","6.52M","0.45%"
"12/11/2023","110.00","109.24","110.13","109.18","9.38M","0.95%"
"12/08/2023","108.96","108.66","109.49","108.62","7.15M","0.31%"
"12/07/2023","108.62","108.76","108.93","108.31","8.46M","0.09%"
"12/06/2023","108.52","108.53","109.17","108.35","8.34M","0.44%"
"12/05/2023","108.04","108.46","108.63","107.89","10.06M","-0.81%"
"12/04/2023","108.92","107.89","108.97","107.89","11.01M","0.17%"
"12/01/2023","108.74","107.15","108.81","107.07","13.28M","1.58%"
"11/30/2023","107.05","106.09","107.11","105.76","14.10M","1.10%"
"11/29/2023","105.89","106.08","106.42","105.68","9.10M","0.38%"
"11/28/2023","105.49","105.89","106.38","105.34","7.98M","-0.24%"
"11/27/2023","105.74","106.00","106.09","105.58","9.16M","-0.56%"
"11/24/2023","106.34","106.12","106.54","106.07","4.44M","0.25%"
"11/22/2023","106.08","105.82","106.40","105.61","9.06M","0.22%"
"11/21/2023","105.85","105.76","106.04","105.41","7.68M","-0.08%"
"11/20/2023","105.93","105.50","106.21","105.06","7.34M","0.30%"
"11/17/2023","105.61","105.47","105.65","105.14","8.03M","0.64%"
"11/16/2023","104.94","105.03","105.52","104.51","8.61M","0.02%"
"11/15/2023","104.92","104.99","105.72","104.84","8.52M","0.21%"
"11/14/2023","104.70","103.89","105.11","103.89","12.87M","2.01%"
"11/13/2023","102.64","102.31","102.87","102.13","6.60M","0.09%"
"11/10/2023","102.55","101.65","102.65","101.29","9.58M","1.44%"
"11/09/2023","101.09","101.95","102.11","100.90","12.23M","-0.22%"
"11/08/2023","101.31","101.30","101.63","100.90","7.49M","0.23%"
"11/07/2023","101.08","100.64","101.24","100.39","7.24M","-0.25%"
"11/06/2023","101.33","101.68","101.73","100.85","6.90M","-0.27%"
"11/03/2023","101.60","101.63","102.15","101.55","10.00M","0.88%"
"11/02/2023","100.71","99.77","100.81","99.55","10.74M","2.06%"
"11/01/2023","98.68","98.46","98.88","97.79","14.72M","0.33%"
"10/31/2023","98.36","97.42","98.47","97.27","10.54M","0.74%"
"10/30/2023","97.64","97.08","97.97","96.71","11.24M","1.24%"
"10/27/2023","96.44","97.35","97.51","96.11","13.06M","-0.88%"
"10/26/2023","97.30","97.77","98.46","97.24","15.39M","-0.42%"
"10/25/2023","97.71","98.83","98.92","97.67","11.00M","-1.28%"
"10/24/2023","98.98","99.49","99.65","98.53","9.32M","0.75%"
"10/23/2023","98.24","98.55","99.62","98.19","12.08M","-0.47%"
"10/20/2023","98.70","99.84","100.04","98.66","13.64M","-1.03%"
"10/19/2023","99.73","100.86","101.45","99.52","12.54M","-0.92%"
"10/18/2023","100.66","102.47","102.52","100.49","13.58M","-2.41%"
"10/17/2023","103.15","102.37","103.82","102.33","10.71M","0.31%"
"10/16/2023","102.83","102.67","103.39","102.28","8.34M","1.06%"
"10/13/2023","101.75","102.77","103.15","101.30","9.61M","-0.89%"
"10/12/2023","102.66","103.92","103.92","101.88","8.10M","-0.91%"
"10/11/2023","103.60","103.25","103.65","102.79","7.81M","0.60%"
"10/10/2023","102.98","102.77","103.58","102.36","9.66M","0.61%"
"10/09/2023","102.36","101.17","102.48","100.98","11.06M","1.57%"
"10/06/2023","100.78","99.04","101.36","98.69","13.84M","1.37%"
"10/05/2023","99.42","99.87","100.13","99.01","10.34M","-0.59%"
"10/04/2023","100.01","99.66","100.19","98.91","11.39M","0.32%"
"10/03/2023","99.69","100.04","100.78","99.28","12.06M","-0.70%"
"10/02/2023","100.39","101.09","101.37","99.93","11.08M","-0.98%"
"09/29/2023","101.38","102.54","102.63","101.04","11.04M","-0.53%"
"09/28/2023","101.92","101.42","102.63","101.29","9.80M","0.42%"
"09/27/2023","101.49","101.35","101.81","100.69","12.68M","0.74%"
"09/26/2023","100.74","101.64","101.96","100.62","11.49M","-1.52%"
"09/25/2023","102.30","101.35","102.34","101.32","7.36M","0.50%"
"09/22/2023","101.79","101.95","102.44","101.74","10.97M","-0.34%"
"09/21/2023","102.14","103.46","103.50","102.10","8.93M","-1.64%"
"09/20/2023","103.84","104.85","105.33","103.78","8.29M","-0.39%"
"09/19/2023","104.25","104.43","104.60","103.50","7.36M","-0.42%"
"09/18/2023","104.69","104.57","105.29","104.35","6.45M","-0.30%"
"09/15/2023","105.00","105.21","105.65","104.70","11.45M","-0.58%"
"09/14/2023","105.61","105.22","105.63","104.99","10.12M","0.98%"
"09/13/2023","104.58","105.14","105.48","104.10","10.65M","-0.66%"
